id,tag,claim_class,effects
aikd-tag-agentic,agentic,listed-only,
aikd-tag-xai,xai,listed-only,
aikd-tag-embodied,embodied,listed-only,
aikd-tag-multimodal,multimodal,listed-only,
aikd-tag-rag,rag,listed-only,
aikd-tag-tool-use,tool-use,listed-only,
aikd-tag-code,code,listed-only,
aikd-tag-math,math,listed-only,
aikd-tag-science,science,listed-only,
aikd-tag-medical-ref,medical-ref,listed-only,
aikd-tag-legal-ref,legal-ref,listed-only,
aikd-tag-speech,speech,listed-only,
aikd-tag-vision,vision,listed-only,
aikd-tag-planning,planning,listed-only,
aikd-tag-memory,memory,listed-only,
aikd-tag-eval,eval,listed-only,
aikd-tag-open-weight,open-weight,listed-only,
aikd-tag-on-device,on-device,listed-only,
aikd-tag-sandbox,sandbox,listed-only,
