realm,hazard,gaia_enabled,note
emergence,None,false,Emergent capability stubs
latent,None,false,Latent space phenomena stubs
jagged,None,false,Jagged frontier failure stubs
shadow,Hazard,false,Permanently blocked — no routing
oracle,None,false,Prediction / foresight stubs
interpretability,None,false,Mechanistic interpretability stubs
consciousness,Debated,false,Open scientific question — agnostic
synchronicity,None,false,Correlated-event stubs
embodiment,None,false,Embodied cognition stubs
unknown,None,false,Catch-all for uncategorised phenomena
