rainbow-moonstone,Rainbow Moonstone,mineral,triclinic,biaxial,listed-only,,none,labradorite trade; not a separate species
red-calcite,Red Calcite,mineral,trigonal,uniaxial,listed-only,,none,CaCO3 color variety
red-coral,Red Coral,biological,none,isotropic,listed-only,,none,biogenic carbonate; not a mineral species
red-jasper,Red Jasper,mineral,trigonal,uniaxial,listed-only,,none,opaque chalcedony
red-tiger-eye,Red Tiger Eye,mineral,trigonal,uniaxial,listed-only,,none,heated/altered tiger-eye quartz
rhodochrosite,Rhodochrosite,mineral,trigonal,uniaxial,listed-only,,none,MnCO3
rhodonite,Rhodonite,mineral,triclinic,biaxial,listed-only,,none,Mn silicate
rhyolite,Rhyolite,trade,mixed,mixed,listed-only,,none,volcanic rock; not one species
rose-quartz,Rose Quartz,mineral,trigonal,uniaxial,listed-only,,none,SiO2 color variety
ruby,Ruby,mineral,trigonal,uniaxial,listed-only,,none,Cr corundum
ruby-kyanite,Ruby Kyanite,trade,mixed,mixed,listed-only,,none,corundum + kyanite rock
rutilated-quartz,Rutilated Quartz,mineral,trigonal,uniaxial,listed-only,,none,quartz + rutile needles
sardonyx,Sandonyx,mineral,trigonal,uniaxial,listed-only,,none,sardonyx; banded chalcedony
selenite,Selenite,mineral,monoclinic,biaxial,listed-only,,none,gypsum variety
septarian,Septarian,trade,mixed,mixed,listed-only,,none,carbonate concretion
seraphinite,Seraphinite,mineral,monoclinic,biaxial,listed-only,,none,clinochlore trade name
serpentine,Serpentine,mineral,monoclinic,biaxial,listed-only,,none,group; asbestiform habits exist; do not dry-fiber
shiva-lingam,Shiva Lingam,trade,mixed,mixed,listed-only,,none,Narmada river stone; sacred object is not a grant
shungite,Shungite,trade,amorphous,isotropic,listed-only,,none,carbonaceous rock; not an EMF shield grant
silver-sheen-obsidian,Silver Sheen Obsidian,glass,amorphous,isotropic,listed-only,,none,obsidian variety
smoky-quartz,Smoky Quartz,mineral,trigonal,uniaxial,listed-only,,none,SiO2 color variety
snowflake-obsidian,Snoflake Obsidian,glass,amorphous,isotropic,listed-only,,none,obsidian + cristobalite spherulites
sodalite,Sodalite,mineral,cubic,isotropic,listed-only,,none,feldspathoid
stellar-beam-calcite,Stellar Beam Calcite,mineral,trigonal,uniaxial,listed-only,,none,calcite habit trade
stilbite,Stilbite,mineral,monoclinic,biaxial,listed-only,,none,zeolite series
sugilite,Sugilite,mineral,hexagonal,uniaxial,listed-only,,none,cyclosilicate
sulfur,Sulphure,mineral,orthorhombic,biaxial,listed-only,,sulfur,native S; do not burn as work
sunstone,Sunstone,mineral,triclinic,biaxial,listed-only,,none,feldspar aventurescence
super-seven,Super Seen,trade,mixed,mixed,listed-only,,none,super seven assemblage trade; not seven grants
tektite,Tektite,glass,amorphous,isotropic,listed-only,,none,impact glass
tiger-eye,Tiger Eye,mineral,trigonal,uniaxial,listed-only,,none,pseudomorph quartz after crocidolite
tiger-iron,Tiger Iron,trade,mixed,mixed,listed-only,,none,tiger-eye + hematite + jasper banded rock
titanium-quartz,Titanium Quartz,treated,trigonal,uniaxial,listed-only,,none,quartz + metal coat
tourmalinated-quartz,Tourminlinated Quartz,mineral,trigonal,uniaxial,listed-only,,none,quartz + tourmaline inclusions
tree-agate,Tree Agate,mineral,trigonal,uniaxial,listed-only,,none,dendritic chalcedony
tremolite,Tremolite,mineral,monoclinic,biaxial,listed-only,,asbestos,amphibole; asbestiform; do not fiber-work
turquoise,Turquoise,mineral,triclinic,biaxial,listed-only,,none,Cu-Al phosphate
ulexite,Ulexite,mineral,triclinic,biaxial,listed-only,,none,TV-stone fiber optic habit
unakite,Unakite,trade,mixed,mixed,listed-only,,none,epidote + feldspar + quartz rock
vanadinite,Vanadnite,mineral,hexagonal,uniaxial,listed-only,,lead,Pb5(VO4)3Cl; do not ingest or dry-grind
watermelon-tourmaline,Watermelon Tourmaline,mineral,trigonal,uniaxial,listed-only,,none,zoned elbaite
wulfenite,Wulfenite,mineral,tetragonal,uniaxial,listed-only,,lead,PbMoO4; do not ingest or dry-grind
yellow-jasper,Yellow Jasper,mineral,trigonal,uniaxial,listed-only,,none,opaque chalcedony
zebra-calcite,Zebra Calcite,mineral,trigonal,uniaxial,listed-only,,none,banded calcite
zincite,Zincite,mineral,hexagonal,uniaxial,listed-only,,none,ZnO; much market material is furnace product
