id,label,kind,system,optic,claim_class,effects,hazard,notes,secondary_id,chakra_id
abalone-shell,Abalone Shell,biological,none,isotropic,listed-only,,none,nacre CaCO3; not a mineral species,,none
adamite,Adamite,mineral,orthorhombic,biaxial,listed-only,,arsenate,Zn2(AsO4)OH; chemistry warning only,,none
aegirine,Aegirine,mineral,monoclinic,biaxial,listed-only,,none,NaFeSi2O6 pyroxene,,none
ajoite,Ajoite,mineral,triclinic,biaxial,listed-only,,copper,Cu-Al-Si hydroxide; often as inclusions in quartz,,crown
amazonite,Amazonite,mineral,triclinic,biaxial,listed-only,,lead,Pb-bearing microcline; not a medicine,,none
amber,Amber,organic,amorphous,isotropic,listed-only,,none,fossil resin; not a lattice,,solar-plexus
amblygonite,Amblygonite,mineral,triclinic,biaxial,listed-only,,none,LiAlPO4(F;OH),,none
amethyst,Amethyst,mineral,trigonal,uniaxial,listed-only,,none,quartz variety,,crown
ametrine,Ametrine,mineral,trigonal,uniaxial,listed-only,,none,quartz; amethyst+citrine zones,,none
ammolite,Ammolite,fossil,orthorhombic,biaxial,listed-only,,none,aragonite on ammonite; CaCO3,,none
ammonite,Ammonite,fossil,none,none,listed-only,,none,fossil cephalopod,,none
andara-glass,Andara Glass,glass,amorphous,isotropic,listed-only,,none,trade glass/slag; not IMA species,,none
angel-aura-quartz,Angel Aura Quartz,treated,trigonal,uniaxial,listed-only,,none,quartz + metal vapor coat,,none
angelite,Angelite,mineral,orthorhombic,biaxial,listed-only,,none,trade name for blue anhydrite,,none
apache-tear,Apache Tear,glass,amorphous,isotropic,listed-only,,none,nodular obsidian,,none
apophyllite,Apophyllite,mineral,tetragonal,uniaxial,listed-only,,none,sheet silicate,,none
apricot-agate,Apricot Agate,mineral,trigonal,uniaxial,listed-only,,none,chalcedony; microcrystalline quartz,,none
aqua-aura-quartz,Aqua Aura Quartz,treated,trigonal,uniaxial,listed-only,,none,quartz + gold coat,,none
aquamarine,Aquamarine,mineral,hexagonal,uniaxial,listed-only,,none,beryl Be3Al2Si6O18,,throat
aragonite,Aragonite,mineral,orthorhombic,biaxial,listed-only,,none,CaCO3 polymorph,,none
auralite-23,Auralite 23,trade,mixed,mixed,listed-only,,none,trade assemblage; not one species,,none
azurite,Azurite,mineral,monoclinic,biaxial,listed-only,,none,Cu3(CO3)2(OH)2,,third-eye
bismuth,Bismuth,metal,trigonal,uniaxial,listed-only,,none,often lab hopper crystal; not a silicate,,none
black-kyanite,Black Kyanite,mineral,triclinic,biaxial,listed-only,,none,Al2SiO5 polymorph,,none
black-obsidian,Black Obsidian,glass,amorphous,isotropic,listed-only,,none,volcanic glass,,root
black-tourmaline,Black Tourmaline,mineral,trigonal,uniaxial,listed-only,,none,schorl; piezo/pyro possible; not a shield grant,,none
bloodstone,Bloodstone,mineral,trigonal,uniaxial,listed-only,,none,heliotrope; chalcedony + hematite,,none
blue-apatite,Blue Apatite,mineral,hexagonal,uniaxial,listed-only,,none,phosphate group,,none
blue-calcite,Blue Calcite,mineral,trigonal,uniaxial,listed-only,,none,strong birefringence; CaCO3,,none
blue-chalcedony,Blue Chalcedony,mineral,trigonal,uniaxial,listed-only,,none,microcrystalline quartz,,none
blue-goldstone,Blue Goldstone,glass,amorphous,isotropic,listed-only,,none,man-made glass + copper/cobalt spark,,none
blue-halite,Blue Halite,mineral,cubic,isotropic,listed-only,,soluble,NaCl; color from defects; do not ingest as work,,none
blue-kyanite,Blue Kyanite,mineral,triclinic,biaxial,listed-only,,none,Al2SiO5; anisotropic hardness,,throat
blue-lace-agate,Blue Lace Agate,mineral,trigonal,uniaxial,listed-only,,none,banded chalcedony,,throat
blue-sapphire,Blue Sapphire,mineral,trigonal,uniaxial,listed-only,,none,corundum Al2O3,,none
blue-tiger-eye,Blue Tiger Eye,mineral,trigonal,uniaxial,listed-only,,none,quartz after crocidolite; chatoyant,,none
blue-topaz,Blue Topaz,mineral,orthorhombic,biaxial,listed-only,,none,often irradiated/heat-treated,,none
blue-tourmaline,Blue Tourmaline,mineral,trigonal,uniaxial,listed-only,,none,indicolite series,,none
botswana-agate,Botswana Agate,mineral,trigonal,uniaxial,listed-only,,none,banded chalcedony,,none
bronzite,Bronzite,mineral,orthorhombic,biaxial,listed-only,,none,orthopyroxene,,none
brucite,Brucite,mineral,trigonal,uniaxial,listed-only,,none,Mg(OH)2,,none
bumblebee-jasper,Bumblebee Jasper,trade,mixed,mixed,listed-only,,arsenic,not true jasper; calcite + sulfur + realgar; do not cut dry or ingest,,none
calligraphy-stone,Calligraphy Stone,trade,mixed,mixed,listed-only,,none,script/Miriam stone; usually carbonate assemblage,,none
carnelian,Carnelian,mineral,trigonal,uniaxial,listed-only,,none,chalcedony; Fe tint,,sacral
carnelian,Carnelian,mineral,trigonal,uniaxial,listed-only,,none,chalcedony; Fe tint,,sacral
caribbean-calcite,Caribbean Calcite,trade,mixed,mixed,listed-only,,none,calcite + blue carbonate mix; trade name,,none
celestite,Celestite,mineral,orthorhombic,biaxial,listed-only,,none,SrSO4,,none
calcopyrite,Calcopyrite,mineral,tetragonal,uniaxial,listed-only,,sulfide,spelling variant of chalcopyrite; same species,,none
chaoite,Chaoite,mineral,hexagonal,uniaxial,listed-only,,none,rare carbon allotrope; listed not granted,,none
chalcopyrite,Chalcopyrite,mineral,tetragonal,uniaxial,listed-only,,sulfide,CuFeS2,,none
chrysocolla,Chrysocolla,mineral,orthorhombic,biaxial,listed-only,,copper,hydrated Cu silicate; often intergrown,,none
chrysoprase,Chrysoprase,mineral,trigonal,uniaxial,listed-only,,none,Ni-bearing chalcedony,,none
citrine,Citrine,mineral,trigonal,uniaxial,listed-only,,none,quartz; much market citrine is heated amethyst,,solar-plexus
clear-calcite,Clear Calcite,mineral,trigonal,uniaxial,listed-only,,none,Iceland-spar type; teaching birefringence,,none
clear-quartz,Clear Quartz,mineral,trigonal,uniaxial,listed-only,,none,SiO2; piezo in cut oscillators not handheld healing,,crown
cobaltoan-calcite,Cobaltoan Calcite,mineral,trigonal,uniaxial,listed-only,,none,Co-bearing calcite,,cobalt
copper,Copper,metal,cubic,isotropic,listed-only,,metal,native Cu; conductor; not a grant,,none
covelite,Covelite,mineral,hexagonal,uniaxial,listed-only,,sulfide,covellite CuS; spelling as given,,none
covellite,Covellite,mineral,hexagonal,uniaxial,listed-only,,sulfide,canonical IMA name for covelite row,,none
crazy-lace-agate,Crazy Lace Agate,mineral,trigonal,uniaxial,listed-only,,none,banded chalcedony,,none
credite,Credite,mineral,monoclinic,biaxial,listed-only,,none,spelling variant of creedite,,none
creedite,Creedite,mineral,monoclinic,biaxial,listed-only,,none,Ca3Al2(SO4)(F;OH)10.2H2O,,none
dalmatian-stone,Dalmatian Stone,trade,mixed,mixed,listed-only,,none,spotted perthite/jasper trade name,,none
danburite,Danburite,mineral,orthorhombic,biaxial,listed-only,,none,CaB2Si2O8,,none
desert-rose-selenite,Deser Rose Selenite,mineral,monoclinic,biaxial,listed-only,,none,gypsum desert-rose habit; spelling as given,,none
dolomite,Dolomite,mineral,trigonal,uniaxial,listed-only,,none,CaMg(CO3)2,,none
dragons-blood-jasper,Dragon's Blood Jasper,trade,mixed,mixed,listed-only,,none,epidote-piemontite or resin trade rock,,none
dumortierite,Dulmoerierite,mineral,orthorhombic,biaxial,listed-only,,none,dumortierite; spelling as given,,none
emerald,Emerald,mineral,hexagonal,uniaxial,listed-only,,none,Cr/V beryl,,heart
epidote,Epidote,mineral,monoclinic,biaxial,listed-only,,none,sorosilicate,,none
faden-quartz,Faden Quartz,mineral,trigonal,uniaxial,listed-only,,none,quartz habit with white thread,,none
fairy-stone,Fairy Stone,trade,mixed,mixed,listed-only,,none,staurolite cross or clay concretion,,none
fire-agate,Fire Agate,mineral,trigonal,uniaxial,listed-only,,none,chalcedony with iridescent goethite,,none
fire-and-ice-quartz,Fire & Ice Quartz,treated,trigonal,uniaxial,listed-only,,none,cracked/healed quartz trade,,none
fire-opal,Fire Opal,mineral,amorphous,isotropic,listed-only,,none,orange/red opal; amorphous SiO2.nH2O; often from Mexico,,sacral
fluorite,Fluorite,mineral,cubic,isotropic,listed-only,,none,CaF2; cleavage octahedra; teaching isotropic,,crown
fuchsite,Fuchsite,mineral,monoclinic,biaxial,listed-only,,none,Cr muscovite,,none
galena,Galena,mineral,cubic,isotropic,listed-only,,lead,PbS; do not ingest or dry-grind,,none
garnet,Garnet,mineral,cubic,isotropic,listed-only,,none,group; no birefringence; see garnet-hessonite (sacral) and garnet-almandine (root) for subtype rows,,none
garnet-almandine,Red Garnet (Almandine),mineral,cubic,isotropic,listed-only,,none,Fe3Al2Si3O12; canonical root garnet subtype,,root
garnet-hessonite,Hessonite Garnet,mineral,cubic,isotropic,listed-only,,none,grossular Ca3Al2Si3O12; orange-brown; sacral subtype,,sacral
golden-calcite,Golden Calcite,mineral,trigonal,uniaxial,listed-only,,none,CaCO3 color variety,,none
goldstone,Goldstone,glass,amorphous,isotropic,listed-only,,none,man-made glass + Cu spark,,none
grape-agate,Grape Agate,mineral,trigonal,uniaxial,listed-only,,none,botryoidal chalcedony/amethyst,,none
green-aventurine,Green Aventurine,mineral,trigonal,uniaxial,listed-only,,none,quartz + fuchsite spark,,none
green-calcite,Green Calcite,mineral,trigonal,uniaxial,listed-only,,none,CaCO3 color variety,,none
