id,secondary_id
abalone-shell,red-coral
amber,jet
amethyst,clear-quartz
ametrine,amethyst
ammolite,ammonite
ammonite,ammolite
andara-glass,black-obsidian
angel-aura-quartz,clear-quartz
angelite,celestite
apache-tear,black-obsidian
apophyllite,stilbite
apricot-agate,botswana-agate
aqua-aura-quartz,clear-quartz
aquamarine,emerald
aragonite,clear-calcite
azurite,malachite
black-kyanite,blue-kyanite
black-obsidian,snowflake-obsidian
black-tourmaline,watermelon-tourmaline
bloodstone,red-jasper
blue-calcite,clear-calcite
blue-chalcedony,blue-lace-agate
blue-goldstone,goldstone
blue-kyanite,black-kyanite
blue-lace-agate,botswana-agate
blue-sapphire,ruby
blue-tiger-eye,tiger-eye
blue-topaz,clear-quartz
blue-tourmaline,black-tourmaline
botswana-agate,blue-lace-agate
caribbean-calcite,blue-calcite
carnelian,sardonyx
celestite,angelite
calcopyrite,chalcopyrite
chalcopyrite,pyrite
chrysocolla,turquoise
chrysoprase,green-aventurine
citrine,clear-quartz
clear-calcite,fluorite
clear-quartz,fluorite
copper,malachite
covelite,covellite
covellite,chalcopyrite
crazy-lace-agate,botswana-agate
danburite,clear-quartz
desert-rose-selenite,selenite
dolomite,magnesite
dragons-blood-jasper,epidote
emerald,aquamarine
epidote,prehnite
faden-quartz,clear-quartz
fire-and-ice-quartz,clear-quartz
fire-agate,carnelian
fluorite,clear-calcite
fuchsite,muscovite
garnet,peridot
golden-calcite,clear-calcite
goldstone,blue-goldstone
green-aventurine,clear-quartz
green-calcite,clear-calcite
green-jade,serpentine
hematite,tiger-eye
herkimer-diamond,clear-quartz
hiddenite,kunzite
howlite,magnesite
iolite,blue-sapphire
jet,amber
k2,azurite
kiwi-jasper,moss-agate
kunzite,hiddenite
labradorite,moonstone
lapis-lazuli,sodalite
larimar,blue-chalcedony
lemurian-quartz,clear-quartz
lepidolite,muscovite
lithium-quartz,clear-quartz
magnesite,howlite
mahogany-obsidian,black-obsidian
malachite,azurite
mangano-calcite,clear-calcite
merlinite,hematite
moldavite,tektite
moonstone,labradorite
morganite,aquamarine
moss-agate,tree-agate
muscovite,lepidolite
ocean-jasper,moss-agate
orange-calcite,clear-calcite
peridot,garnet
petrified-wood,amber
pietersite,tiger-eye
pink-optical-calcite,clear-calcite
pink-tourmaline,black-tourmaline
pistachio-calcite,clear-calcite
prehnite,epidote
pyrite,chalcopyrite
rainbow-moonstone,moonstone
red-calcite,clear-calcite
red-coral,abalone-shell
red-jasper,yellow-jasper
red-tiger-eye,tiger-eye
rhodochrosite,rhodonite
rhodonite,rhodochrosite
rose-quartz,clear-quartz
ruby,blue-sapphire
ruby-kyanite,blue-kyanite
rutilated-quartz,clear-quartz
sardonyx,carnelian
selenite,desert-rose-selenite
serpentine,green-jade
shungite,jet
silver-sheen-obsidian,black-obsidian
smoky-quartz,clear-quartz
snowflake-obsidian,black-obsidian
sodalite,lapis-lazuli
stellar-beam-calcite,clear-calcite
stilbite,apophyllite
sugilite,lepidolite
sunstone,labradorite
tektite,moldavite
tiger-eye,hematite
tiger-iron,hematite
titanium-quartz,clear-quartz
tourmalinated-quartz,black-tourmaline
tree-agate,moss-agate
turquoise,chrysocolla
unakite,epidote
watermelon-tourmaline,black-tourmaline
yellow-jasper,red-jasper
zebra-calcite,clear-calcite
