id,secondary_id,rule
aegirine,bronzite,same-class pyroxene
amblygonite,lepidolite,Li paragenesis
blue-apatite,turquoise,phosphate group
bronzite,aegirine,same-class pyroxene
brucite,magnesite,Mg paragenesis
chaoite,shungite,carbon teaching
credite,creedite,spelling variant
creedite,credite,canonical name
dumortierite,clear-quartz,common quartz host
grape-agate,amethyst,botryoidal chalcedony/amethyst
meteorite,hematite,Fe metal/oxide teaching
purpurite,rhodochrosite,Mn phosphate/carbonate teaching
seraphinite,fuchsite,chlorite/mica green sheet
ulexite,selenite,fiber vs cleavage teaching
zincite,hematite,oxide teaching; market zincite often furnace
