layer,source,claim_class,effects,notes
planetary-system,R#18,experimental,,composition only; no hive
planetary-infra,R#19,experimental,,infra language
planetary-sentience,R#20,prohibited,,language only; never runtime state
continental,R#21,experimental,,local contract
national,R#22,experimental,,local contract
state,R#23,experimental,,local contract
urban,R#24,experimental,,local contract
community,R#25,experimental,,local contract; no default watch
home,R#26,experimental,,local contract; consent first
personal,R#27,experimental,,twin-as-record; no biometric raw
